   DATE.   PROBLEM NO.               PROBLEM STATEMENT.                                           TOPICS COVERED.                         TEST CASES.       STATUS.
21-12-2023   01         WAP TO CHECK WHETHER A PHRASE IS PALINDROME OR NOT.    STRING, LIBRARY FUNCTION, CONDITIONAL STATEMENTS (IF-ELSE)   PASSED.        ACCEPTED.
22-12-2023   02         WAP TO CHECK WHETHER A STRING IS ANAGRAM OR NOT.       STRING, LIBRARY FUNCTION, CONDITIONAL STATEMENTS (IF-ELSE)   PASSED.        ACCEPTED.
22-12-2023   03         WAP TO CREATE A BASIC HANGMAN GAME.           LIST, CONDITIONAL STATEMENTS (IF-ELSE), ITERATIVE STATEMENTS (WHILE)  PASSED.        ACCEPTED.
23-12-2023   04         WAP TO PRINT STAR PYRAMID.                                              ITERATIVE STATEMENTS (FOR)                  PASSED.        ACCEPTED.
23-12-2023   05         WAP TO PRINT TRIANGLE OF NUMBERS.                                       ITERATIVE STATEMENTS (FOR)                  PASSED.        ACCEPTED.
23-12-2023   06         WAP TO PRINT TRAINGLE OUT OF WORDS.                           LIBRARY FUNCTION, ITERATIVE STATEMENTS (FOR)          PASSED.        ACCEPTED.
26-12-2023   07         WAP TO PRINT PALINDROME WITHIN A RANGE.           CONDITIONAL STATEMENTS (IF), ITERATIVE STATEMENTS (FOR, WHILE)    PASSED.        ACCEPTED.
26-12-2023   08         WAP TO CREATE A BASIC R-P-S GAME.                 CONDITIONAL STATEMENTS (IF-ELSE), ITERATIVE STATEMENTS (WHILE)    PASSED.        ACCEPTED.
27-12-2023   09         WAP TO CREATE A BASIC AVENGER QUIZ.                                  CONDITIONAL STATEMENTS (IF-ELSE)               PASSED.        ACCEPTED.
28-12-2023   10         WAP TO CREATE A TEMPERATURE CONVERTER.                                         USER INPUT                           PASSED.        ACCEPTED.
28-12-2023   11         WAP TO CALCULATE THE FACTORIAL.                                         ITERATIVE STATEMENTS (FOR)                  PASSED.        ACCEPTED.
28-12-2023   12         WAP TO GENERATE RANDOM PASSWORD.                          LIST, BUILT-IN FUNCTIONS, ITERATIVE STATEMENTS (FOR)      PASSED.        ACCEPTED.
